Number of communities of best chromosome 7
Fitness of best chromosome: 0.5753196681565217
0 | 1
1 | 2
2 | 3
3 | 1
4 | 1
5 | 1
6 | 3
7 | 1
8 | 1
9 | 1
10 | 1
11 | 1
12 | 4
13 | 3
14 | 4
15 | 3
16 | 1
17 | 5
18 | 4
19 | 4
20 | 5
21 | 1
22 | 1
23 | 1
24 | 1
25 | 2
26 | 4
27 | 5
28 | 1
29 | 4
30 | 4
31 | 4
32 | 3
33 | 2
34 | 4
35 | 4
36 | 4
37 | 2
38 | 4
39 | 3
40 | 1
41 | 1
42 | 4
43 | 4
44 | 6
45 | 2
46 | 7
47 | 3
48 | 6
49 | 7
50 | 1
51 | 1
52 | 1
53 | 7
54 | 4
55 | 4
56 | 5
57 | 6
58 | 5
59 | 5
60 | 3
61 | 4
62 | 5
63 | 5
64 | 3
65 | 5
66 | 6
67 | 7
68 | 1
69 | 1
70 | 5
71 | 4
72 | 1
73 | 7
74 | 1
75 | 6
76 | 5
77 | 1
78 | 1
79 | 4
80 | 4
81 | 1
82 | 4
83 | 7
84 | 1
85 | 4
86 | 6
87 | 5
88 | 7
89 | 2
90 | 1
91 | 6
92 | 6
93 | 1
94 | 4
95 | 5
96 | 5
97 | 5
98 | 1
99 | 4
100 | 3
101 | 4
102 | 1
103 | 2
104 | 1
105 | 2
106 | 3
107 | 1
108 | 1
109 | 2
110 | 7
111 | 1
112 | 6
113 | 5
114 | 7
