Number of communities of best chromosome 4
Fitness of best chromosome: 0.4741703255409187
0 | 1
1 | 2
2 | 3
3 | 3
4 | 2
5 | 2
6 | 2
7 | 2
8 | 3
9 | 2
10 | 1
11 | 4
12 | 1
13 | 2
14 | 3
15 | 4
16 | 3
17 | 2
18 | 4
19 | 2
20 | 3
21 | 4
22 | 2
23 | 4
24 | 4
25 | 2
26 | 2
27 | 2
28 | 3
29 | 4
30 | 2
31 | 2
32 | 2
33 | 3
34 | 3
35 | 3
36 | 2
37 | 3
38 | 3
39 | 2
40 | 3
41 | 2
42 | 1
43 | 3
44 | 3
45 | 4
46 | 3
47 | 1
48 | 2
49 | 3
50 | 3
51 | 4
52 | 3
53 | 3
54 | 2
55 | 4
56 | 2
57 | 2
58 | 3
59 | 4
60 | 2
61 | 3
