Number of communities of best chromosome 5
Fitness of best chromosome: 0.5185910367469627
0 | 1
1 | 2
2 | 1
3 | 3
4 | 3
5 | 4
6 | 4
7 | 2
8 | 3
9 | 4
10 | 1
11 | 3
12 | 5
13 | 4
14 | 5
15 | 3
16 | 5
17 | 4
18 | 3
19 | 2
20 | 1
21 | 3
22 | 4
23 | 3
24 | 3
25 | 2
26 | 2
27 | 2
28 | 1
29 | 3
30 | 1
31 | 4
32 | 4
33 | 5
34 | 5
35 | 3
36 | 2
37 | 5
38 | 5
39 | 2
40 | 5
41 | 4
42 | 1
43 | 5
44 | 1
45 | 3
46 | 5
47 | 1
48 | 4
49 | 5
50 | 5
51 | 3
52 | 5
53 | 5
54 | 4
55 | 3
56 | 4
57 | 4
58 | 5
59 | 3
60 | 4
61 | 5
